subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct_option
Python,FileHandling,hard,Which exception occurs on invalid file operation?,IOError,ValueError,TypeError,KeyError,a
Python,FileHandling,hard,What happens when file is opened in x mode and already exists?,Overwritten,Appended,Error,,c
Python,FileHandling,hard,Which method flushes internal buffer?,flush(),clear(),sync(),reset(),a
Python,FileHandling,hard,What does tell() return?,File size,Pointer position,Line count,Mode,b
Python,ExceptionHandling,medium,Which keyword is used to define custom exception?,class,def,raise,exception,a
Python,ExceptionHandling,medium,Which block executes only if no exception occurs?,finally,except,else,try,c
Python,ExceptionHandling,medium,Which exception occurs when dividing by zero?,ValueError,ZeroDivisionError,TypeError,ArithmeticError,b
Python,ExceptionHandling,medium,Which exception handles missing dictionary key?,KeyError,IndexError,ValueError,NameError,a
Python,ExceptionHandling,medium,Which block can be used multiple times?,try,except,finally,else,b
Python,ExceptionHandling,medium,Which block handles exceptions?,try,catch,except,handle,c
Python,ExceptionHandling,medium,Which block always executes?,try,except,else,finally,d
Python,ExceptionHandling,medium,Which block runs if no error?,except,finally,else,try,c
Python,ExceptionHandling,medium,Which exception handles wrong index?,ValueError,KeyError,IndexError,TypeError,c
Python,ExceptionHandling,medium,Which keyword is used to catch errors?,try,catch,except,handle,c
Python,ExceptionHandling,hard,What is a ValueError?,Wrong type,Wrong value,Index error,Key error,b
Python,ExceptionHandling,hard,Which keyword raises an exception?,raise,throw,error,exception,a
Python,ExceptionHandling,hard,What happens if exception is not handled?,Ignored,Program stops,Warning,Continues,b
Python,ExceptionHandling,hard,What is custom exception?,User-defined error,Built-in error,System error,,a
Python,ExceptionHandling,hard,Which block cleans resources?,try,except,else,finally,d
Python,ExceptionHandling,hard,What is exception chaining?,Linking exceptions,Nesting loops,Multiple try blocks,Error suppression,a
Python,ExceptionHandling,hard,Which keyword preserves original exception?,from,raise,with,as,a
Python,ExceptionHandling,hard,What does raise without argument do?,Raises last exception,Stops program,Creates new exception,Ignored,a
Python,ExceptionHandling,hard,Which exception is raised for invalid type operation?,TypeError,ValueError,IndexError,KeyError,a
Python,ExceptionHandling,hard,What is purpose of finally block?,Handle error,Execute cleanup,Raise error,Skip code,b
